"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3321407,"September 30, 2025",Arkansas,Benton,"1136 W Longhills Rd",1,0,0,0,1,N/A
3320222,"September 30, 2025",Mississippi,Jackson,"3301 Bailey Ave",1,2,0,0,1,N/A
3320236,"September 30, 2025",Texas,Elgin,"100 block of Jefferson Cove",1,0,0,0,1,N/A
3320011,"September 30, 2025",Maryland,Riverdale,"6600 block of Greenland St",0,0,1,0,0,N/A
3320227,"September 30, 2025",Colorado,"Fort Collins","100 block of W Fairway Ln",1,1,0,0,0,N/A
3321368,"September 30, 2025",Alabama,Wilsonville,"Hillside Dr",1,0,0,0,0,N/A
3319182,"September 30, 2025",Oregon,Portland,"N Gilbert Ave and N Central St",1,0,0,0,0,N/A
3320059,"September 30, 2025",Tennessee,Clarksville,"495 Ringgold Rd",1,0,0,0,1,N/A
3319384,"September 30, 2025",Illinois,Rockford,"900 block of Kishwaukee St",1,0,0,0,0,N/A
3321243,"September 30, 2025",Tennessee,Nashville,"S 6th St and Sylvan St",1,3,0,0,0,N/A
3320682,"September 30, 2025",Florida,Tampa,"2400 block of W Texas Ave",1,0,1,0,0,N/A
3319828,"September 30, 2025",Kentucky,Lexington,"500 block of E 7th St",1,0,0,0,0,N/A
3320091,"September 30, 2025","South Carolina","Lake City","Peachtree St",1,0,0,0,0,N/A
3319748,"September 29, 2025",Wisconsin,"Milwaukee (Glendale)","5400 block of N Shasta Dr",1,0,0,0,0,N/A
3319731,"September 29, 2025",Tennessee,Burns,N/A,1,0,0,0,0,N/A
3319833,"September 29, 2025",Alabama,"Phenix City","2319 College Dr",1,1,0,0,0,N/A
3318799,"September 29, 2025",Illinois,Chicago,"8217 S Wentworth Ave",1,0,0,0,0,N/A
3318301,"September 29, 2025",Illinois,Plainfield,"1800 block of Burshire Ct",1,0,1,0,0,N/A
3319807,"September 29, 2025",Michigan,Flint,"1100 Simcoe Ave",1,1,0,0,0,N/A
3320657,"September 29, 2025",California,Tarzana,"5830 Reseda Blvd",1,0,0,0,0,N/A
3319329,"September 29, 2025",Florida,Deltona,"140 Orchid Woods Ct",1,0,0,0,1,N/A
3318582,"September 29, 2025",Tennessee,Memphis,"Watson Rd",2,0,0,0,0,N/A
3319212,"September 29, 2025",Texas,"San Antonio","800 block of N Colorado St",1,0,0,0,1,N/A
3319602,"September 29, 2025",Virginia,Petersburg,"1932 E Washington St",1,0,0,0,0,N/A
3319563,"September 29, 2025",Virginia,Hampton,"50 block of Sacramento Dr",1,1,0,0,0,N/A
3318506,"September 29, 2025",California,Riverside,"2900 block of Orange St",1,0,0,0,0,N/A
3319387,"September 29, 2025",Texas,Silsbee,"6000 block of FM1122",1,0,1,0,0,N/A
3319641,"September 29, 2025",Missouri,"Saint Charles","3200 block of Lightfoot Dr",1,0,0,0,1,N/A
3319449,"September 29, 2025","New Mexico",Albuquerque,"1511 Goff Blvd SW",1,0,0,0,0,N/A
3318286,"September 29, 2025",Texas,Dallas,"700 block of Ann Arbor Ave",1,0,0,0,0,N/A
3318288,"September 29, 2025","New Mexico",Albuquerque,"10001 Ceja Vis Rd SW",0,0,1,0,0,N/A
3318293,"September 29, 2025",Texas,Denton,"300 block of W Eagle Dr",1,0,0,0,2,N/A
3318749,"September 29, 2025",Louisiana,Lafayette,"1314 NE Evangeline Thruway",1,1,0,0,1,N/A
3319487,"September 29, 2025","South Carolina",Beaufort,"330 Robert Smalls Pkwy",1,0,0,0,0,N/A
3318277,"September 29, 2025",Texas,Bryan,"2408 Jaguar Dr",1,0,0,0,0,N/A
3319282,"September 29, 2025",Texas,Wharton,"100 block of CR 255",0,0,1,0,0,N/A
3319259,"September 29, 2025",Texas,"Wills Point","200 block of Bull Durham Rd",1,0,0,0,1,N/A
3318308,"September 29, 2025",Illinois,Chicago,"8386 S Baker Ave",1,0,0,0,0,N/A
3319007,"September 29, 2025",Kentucky,Louisville,"9000 block of Napa Valley Ct",2,0,0,0,0,N/A
3319079,"September 29, 2025",Indiana,Indianapolis,"4500 block of Guion Road",3,0,0,0,0,N/A
3318341,"September 29, 2025",Maryland,"Lutherville Timonium","119 E Padonia Rd",1,0,1,0,0,N/A
3319037,"September 29, 2025",Missouri,"Kansas City","1600 block of Drury Ave",1,0,0,0,0,N/A
3318597,"September 29, 2025",Alabama,Lincoln,"Taryn Trce",1,0,0,0,0,N/A
3319179,"September 29, 2025",Louisiana,Shreveport,"Egan St and Gilbert Dr",1,0,0,0,1,N/A
3318843,"September 28, 2025",Ohio,Painesville,"Coventry Dr",0,0,1,0,0,N/A
3317794,"September 28, 2025",Ohio,Cleveland,"1000 block of West 11th St",1,0,0,1,1,N/A
3317588,"September 28, 2025",Texas,"Eagle Pass","794 Lucky Eagle Dr",2,6,0,0,1,N/A
3318075,"September 28, 2025",Texas,"Fort Worth","Museum Way and Matisse Dr",1,0,0,0,0,N/A
3318975,"September 28, 2025",Alabama,Decatur,"1200 block of 22nd Ave SW",0,0,1,0,0,N/A
3318028,"September 28, 2025",Kentucky,Louisville,"2100 block of W. Market St",1,0,0,0,0,N/A
3318000,"September 28, 2025",Indiana,"Indianapolis (Cumberland)","11000 block of Dunshire Dr",0,0,1,0,0,N/A
3318823,"September 28, 2025",Montana,"Wolf Point","415 Blaine St",1,1,0,0,1,N/A
3317986,"September 28, 2025","New York","Syracuse (Mattydale)","2107 Brewerton Rd",1,0,1,0,0,N/A
3317974,"September 28, 2025",Florida,"Fort Pierce","2000 block of N 21st St",0,1,1,0,0,N/A
3318261,"September 28, 2025",Arizona,Phoenix,"3202 W Bell Rd",0,0,1,0,0,N/A
3318566,"September 28, 2025",Texas,Atascosa,"Luckey Rd and Jarratt Rd",1,0,0,0,0,N/A
3318221,"September 28, 2025",Alabama,Montgomery,"2400 block of E South Blvd",1,2,0,0,0,N/A
3317802,"September 28, 2025",Ohio,Cleveland,"W 130th St and Lorain Ave",1,0,0,0,1,N/A
3318564,"September 28, 2025",Tennessee,Memphis,"749 S Highland St",1,0,0,0,0,N/A
3317888,"September 28, 2025",Indiana,Indianapolis,"5060 Southeastern Ave",1,0,0,0,0,N/A
3318188,"September 28, 2025","New York",Chemung,"176 Rotary Rd",0,0,1,0,0,N/A
3318126,"September 28, 2025",Texas,Odessa,"Mansion Oaks Cir",1,0,0,0,1,N/A
3318132,"September 28, 2025",Texas,Lubbock,"5500 block of 76th St",1,2,0,0,0,N/A
3318449,"September 28, 2025",Texas,"Ledbetter (Nechanitz)","FM 3011",1,0,0,0,0,N/A
3318394,"September 28, 2025","South Carolina",Greenville,"Stegall Cir",0,0,1,0,0,N/A
3318377,"September 28, 2025",Nevada,"Las Vegas","10600 block of Dean Martin Dr",1,0,0,0,0,N/A
3318382,"September 28, 2025","South Carolina",Irmo,"10 block of Forest Walk Ct",1,1,0,0,1,N/A
3318446,"September 28, 2025","South Carolina",Bishopville,"1340 Sumter Hwy",1,0,0,0,1,N/A
3319908,"September 28, 2025",Mississippi,Baldwyn,"County Rd 5401",1,0,0,0,1,N/A
3317726,"September 28, 2025","New Jersey","Jersey City","Union St and Martin Luther King Jr Dr",1,0,0,0,0,N/A
3319408,"September 28, 2025",Arizona,Somerton,"100 block of W Cactus St",1,0,0,0,0,N/A
3317545,"September 28, 2025",Louisiana,"New Orleans","300 block of Loyola Ave",1,0,0,0,0,N/A
3319186,"September 28, 2025",Texas,Dallas,"800 block of Ryan Rd",1,0,0,0,1,N/A
3317650,"September 28, 2025",Louisiana,"New Orleans","Perdido St and Lasalle St",1,0,0,0,0,N/A
3317434,"September 28, 2025",Illinois,Chicago,"1247 S Farrar Dr",1,0,0,0,0,N/A
3318258,"September 28, 2025",Connecticut,Hartford,"131 Brook St",1,1,0,0,0,N/A
3318251,"September 28, 2025",California,"Los Angeles (East Los Angeles)","3915 E Olympic Blvd",1,0,0,0,0,N/A
3317532,"September 28, 2025",Louisiana,"New Orleans","100 block of Bourbon St",1,4,0,0,1,N/A
3320185,"September 28, 2025",Oklahoma,Tulsa,"5929 S Peoria Ave",1,0,0,0,1,N/A
3319064,"September 28, 2025",Alabama,Selma,"1200 Woodrow Ave",1,3,0,0,0,N/A
3317486,"September 28, 2025",Michigan,"Grand Blanc","4285 McCandlish Rd",4,7,1,0,0,N/A
3318171,"September 28, 2025","New York","Corona (Queens)","64th Rd and Grand Central Pkwy",1,0,0,0,0,N/A
3318379,"September 28, 2025","South Carolina",Pageland,"263070 SC-9",1,0,0,0,2,N/A
3318875,"September 28, 2025",Pennsylvania,"Lake Ariel","Oakwood Ct and Lakewood Dr",1,2,0,0,1,N/A
3318863,"September 27, 2025",Iowa,Brighton,N/A,1,0,0,0,0,N/A
3317610,"September 27, 2025",Louisiana,"New Orleans","1800 block of Hollygrove St",1,0,0,0,0,N/A
3317805,"September 27, 2025",Pennsylvania,Aliquippa,"900 block of Franklin Ave",1,0,1,0,0,N/A
3316732,"September 27, 2025",Missouri,Columbia,"900 block of E Broadway",1,2,0,0,1,N/A
3317071,"September 27, 2025",Tennessee,Memphis,"4100 block of Northbridge Ave",0,0,1,0,0,N/A
3318708,"September 27, 2025",Louisiana,Springhill,"3rd St",1,0,0,0,1,N/A
3316952,"September 27, 2025",Minnesota,Minneapolis,"15 E Grant St",2,0,0,0,1,N/A
3317915,"September 27, 2025",Kansas,Hays,"2200 block of Downing St",1,0,1,0,0,N/A
3317078,"September 27, 2025",Washington,"Medical Lake","850 Maple St",1,0,1,0,0,N/A
3317068,"September 27, 2025",Tennessee,Memphis,"Farmville Ave and National St",1,0,0,0,0,N/A
3317695,"September 27, 2025",Missouri,"Saint Louis","5300 block of Ruskin Ave",1,1,0,0,0,N/A
3317044,"September 27, 2025","North Carolina",Charlotte,"8800 block of Hollow Creek Cir",1,1,0,0,0,N/A
3317037,"September 27, 2025","North Carolina",Charlotte,"5020 E Independence Blvd",1,2,0,0,0,N/A
3316649,"September 27, 2025",Virginia,"Virginia Beach","401 N Great Neck Rd",1,0,0,0,1,N/A
3317723,"September 27, 2025","New Jersey",Linden,"3000 block of Irene St",1,0,0,0,0,N/A
3316971,"September 27, 2025",Georgia,Sylvania,"US-301 S",2,0,0,0,0,N/A
3317686,"September 27, 2025",Connecticut,"New Haven","Bassett St and Butler St",1,0,0,0,0,N/A
3318464,"September 27, 2025","South Carolina",Longs,"2003 Star Bluff Rd",1,0,0,0,0,N/A
3316939,"September 27, 2025",Georgia,Ashburn,"300 block of W End St",1,0,0,0,1,N/A
3317225,"September 27, 2025",Pennsylvania,Reading,"500 block of W Erie St",2,1,0,0,0,N/A
3317656,"September 27, 2025",Missouri,"Kansas City","5200 Winner Rd",1,1,0,0,0,N/A
3317714,"September 27, 2025",Nebraska,Omaha,"1601 Park Ave",1,1,0,0,0,N/A
3317682,"September 27, 2025",Connecticut,Hartford,"3340 Main St",1,0,0,0,0,N/A
3317120,"September 27, 2025",Texas,Dallas,"500 block of N Akard St",1,0,0,0,1,N/A
3316689,"September 27, 2025",Michigan,Detroit,"15221 Houston Whittier St",1,0,0,0,0,N/A
3317577,"September 27, 2025",Arizona,Phoenix,"N 67th Ave and W Indian School Rd",1,1,0,0,0,N/A
3317918,"September 27, 2025",Georgia,Ringgold,"Indian Springs Rd",1,1,0,0,2,N/A
3317510,"September 27, 2025",Arizona,Phoenix,"N 7th Ave and W Missouri Ave",1,0,0,0,0,N/A
3316706,"September 27, 2025",Louisiana,"New Orleans","3200 block of Dumaine St",1,0,0,0,1,N/A
3317255,"September 27, 2025","North Carolina",Southport,"150 Yacht Basin Dr",3,8,0,0,1,N/A
3317213,"September 27, 2025",Texas,Dallas,"2700 block of Lenway St",1,0,0,0,0,N/A
3317190,"September 27, 2025",Oregon,Portland,"SE Powell Blvd and SE 130th Ave",1,0,0,0,0,N/A
3318898,"September 27, 2025",Louisiana,Reserve,"300 block of Railroad Ave",1,0,0,0,1,N/A
3316723,"September 26, 2025",Louisiana,"New Orleans","1500 N Claiborne Ave",1,0,0,0,0,N/A
3317350,"September 26, 2025",Indiana,Bloomington,"W Howe St and S Morton St",1,0,0,0,0,N/A
3315863,"September 26, 2025",Indiana,Indianapolis,"10202 John Jay Dr",1,0,0,0,1,N/A
3317996,"September 26, 2025",Georgia,Suwanee,"8205 Harlond Way",1,1,0,0,1,N/A
3315891,"September 26, 2025",Kansas,"Kansas City","1500 block of Greeley Ave",1,0,0,0,0,N/A
3316169,"September 26, 2025",Georgia,Atlanta,"3165 Lakewood Ave SW",1,0,0,0,0,N/A
3316017,"September 26, 2025","North Carolina",Charlotte,"1625 Deboer Ave",1,0,0,1,1,N/A
3316653,"September 26, 2025",Alabama,Montgomery,"500 block of Stone St",1,0,0,0,0,N/A
3316786,"September 26, 2025",Michigan,"Ann Arbor","3016 Packard St",1,0,0,0,2,N/A
3316525,"September 26, 2025",Texas,"San Antonio","2003 S Zarzamora St",1,0,0,0,1,N/A
3317898,"September 26, 2025",California,"Los Angeles",N/A,1,0,0,0,0,N/A
3317081,"September 26, 2025",California,"San Francisco","100 Larkin St",1,0,0,0,1,N/A
3316942,"September 26, 2025",Georgia,Wrightsville,"8214 S Marcus St",1,1,0,0,0,N/A
3316163,"September 26, 2025",Virginia,"Fair Oaks","4500 block of Derring Ln",1,0,0,0,1,N/A
3317122,"September 26, 2025",California,Azusa,"CA-210 and Citrus Ave",1,0,0,0,0,N/A
3316816,"September 26, 2025",Arizona,Tempe,"600 E Curry Rd",1,0,0,1,0,N/A
3315941,"September 26, 2025",Missouri,"Saint Louis","10000 block of Duke Dr",1,0,0,0,0,N/A
3317157,"September 26, 2025",California,Bakersfield,"Highland Knolls Dr and Morning Dr",1,1,0,0,0,N/A
3316167,"September 26, 2025",Maryland,Baltimore,"1200 block of W North Ave",1,0,0,0,0,N/A
3316849,"September 26, 2025",Colorado,"Englewood (Sheridan)","3600 block of North Dr",0,0,1,0,0,N/A
3317977,"September 26, 2025",Florida,Orlando,"4900 block of Keith Pl",1,0,0,0,0,N/A
3315991,"September 26, 2025",Mississippi,Mccomb,"1629 Delaware Ave",1,0,0,0,1,N/A
3316429,"September 26, 2025",Ohio,Cincinnati,"Montgomery Rd and Brewster Ave",1,0,0,0,0,N/A
3316714,"September 26, 2025","New Jersey",Newark,"74 Smith St",1,0,0,0,0,N/A
3316751,"September 26, 2025",Florida,"Fort Myers","700 block of Duffy St",0,0,1,0,0,N/A
3316710,"September 26, 2025","New Jersey",Newark,"200 block of Muhammad Ali Ave",1,0,0,0,0,N/A
3316701,"September 26, 2025",Michigan,Detroit,"9000 block of Keller St",1,0,0,0,0,N/A
3316691,"September 26, 2025",Illinois,Chicago,"7800 block of S Maryland Ave",1,0,0,0,0,N/A
3316606,"September 26, 2025",Illinois,Chicago,"50 block of E 89th St",1,0,0,0,0,N/A
3317459,"September 26, 2025",Arkansas,"Little Rock","Beverly St and Carolina St",1,0,0,0,1,N/A
3316578,"September 26, 2025",Illinois,Chicago,"1200 block of W Sunnyside Ave",1,1,0,0,0,N/A
3316623,"September 26, 2025",Illinois,Chicago,"4300 block of W North Ave",1,0,0,0,1,N/A
3316988,"September 26, 2025",Wisconsin,Milwaukee,"N 38th St and W Keefe Ave",1,0,0,0,0,N/A
3317154,"September 25, 2025",Texas,Houston,"14300 block of Darrah Dr",1,0,0,0,1,N/A
3315881,"September 25, 2025",Louisiana,"New Orleans","9600 block of Old Gentilly Rd",1,0,1,0,0,N/A
3315535,"September 25, 2025",Alaska,"Anchor Point","29795 Sterling Hwy",0,0,1,0,0,N/A
3315504,"September 25, 2025",Tennessee,Hixson,"2145 Hamill Rd",0,0,1,0,0,N/A
3316179,"September 25, 2025",Georgia,"Stone Mountain","Sheila Ln",1,0,0,0,0,N/A
3315157,"September 25, 2025",Georgia,Roswell,"1900 Rosemont Pkwy",1,0,0,0,1,N/A
3317028,"September 25, 2025",Texas,"Waco (Bellmead)","1521 I-35",0,1,1,0,0,N/A
3315123,"September 25, 2025",Michigan,Grandville,"143 Brookmeadow North Ln SW",1,0,0,0,1,N/A
3315489,"September 25, 2025",Ohio,Toledo,"4500 block of Walker Ave",1,0,0,0,1,N/A
3315429,"September 25, 2025",Ohio,Springfield,"1400 block of Delta Rd",1,0,0,0,0,N/A
3315205,"September 25, 2025","New Mexico",Albuquerque,"6300 block of Pastorcito Dr NW",1,0,0,0,0,N/A
3316806,"September 25, 2025",Colorado,"Colorado Springs","300 Block of Wooten Rd",1,0,0,0,0,N/A
3315169,"September 25, 2025",Georgia,Smyrna,"Cobb Pkwy SE and Circle 75 Pkwy",0,0,1,0,0,N/A
3315943,"September 25, 2025","New Jersey",Hillsborough,"Cornell Trail",0,0,1,0,0,N/A
3315332,"September 25, 2025","South Carolina","Rock Hill","1800 block of Springsteen Rd",1,0,0,0,1,N/A
3315699,"September 25, 2025",Michigan,Detroit,"Chatsworth St and E Warren Ave",1,0,0,0,0,N/A
3315921,"September 25, 2025",Georgia,Valdosta,"821 W Gordon St",0,0,1,0,0,N/A
3315672,"September 25, 2025",Texas,Orangefield,"3700 block of Granger Ln",1,0,1,0,0,N/A
3315850,"September 25, 2025",California,Ceres,"1672 Herndon Rd",1,0,0,0,1,N/A
3315527,"September 25, 2025",Illinois,Chicago,"11 W 26th St",1,0,0,0,0,N/A
3315054,"September 25, 2025",Mississippi,Lumberton,"Billy Miller Rd",1,0,0,0,1,N/A
3315839,"September 25, 2025",Utah,Coalville,"300 block of S Main St",0,0,1,0,0,N/A
3316538,"September 25, 2025",Texas,Timpson,"498 N George Bowers Dr",1,0,0,0,2,N/A
3316025,"September 25, 2025",Arizona,Maricopa,"W Meadow Green Rd and N Warren Rd",0,0,1,0,0,N/A
3315721,"September 25, 2025",Illinois,Chicago,"13331 S Calumet Ave",1,0,0,0,0,N/A
3315711,"September 25, 2025",Illinois,Chicago,"4000 block of W Wilcox St",1,0,0,0,0,N/A
3317355,"September 25, 2025",Texas,Sheffield,"215 Main St",1,0,0,0,1,N/A
3315654,"September 25, 2025",Virginia,Covesville,"Windward Cove Rd",2,0,0,0,0,N/A
3316386,"September 25, 2025",Ohio,Akron,"1000 block of Rosemary Blvd",1,0,0,0,0,N/A
3315675,"September 25, 2025",Virginia,Chester,"12300 block of Moores Lake Rd",0,0,1,0,0,N/A
3314438,"September 24, 2025",Texas,"El Paso","911 N Raynor St",2,1,1,0,0,N/A
3315546,"September 24, 2025","South Carolina","Cross Hill","Pineland Shores Cir",1,0,0,0,1,N/A
3314734,"September 24, 2025",Minnesota,Alden,"23480 630th Ave",0,0,1,0,0,N/A
3315291,"September 24, 2025",Mississippi,Jackson,"4800 block of Churchill Dr",1,0,0,0,1,N/A
3314761,"September 24, 2025",Wisconsin,"Sheboygan Falls","Monroe St and Broadway St",1,0,0,0,1,N/A
3315757,"September 24, 2025",Virginia,Williamsburg,"I-64 E",1,0,0,0,0,N/A
3315084,"September 24, 2025",Missouri,"Saint Louis","4500 block of Fair Ave",1,0,0,0,0,N/A
3315141,"September 24, 2025",Colorado,Pueblo,"3000 block of W Northern Ave",1,0,0,0,0,N/A
3314422,"September 24, 2025",Utah,Provo,"4988 S Fork Rd",1,0,0,0,0,N/A
3314197,"September 24, 2025",Texas,Dallas,"8101 N Stemmons Fwy",2,1,1,0,0,N/A
3314230,"September 24, 2025",California,Compton,"700 block of W Cherry St",1,0,0,0,0,N/A
3315019,"September 24, 2025",Alabama,Birmingham,"1100 block of Kiser Rd",1,0,0,1,0,N/A
3314898,"September 24, 2025",Washington,Spokane,"4200 block of E 34th Ave",2,1,0,0,0,N/A
3315494,"September 24, 2025",Texas,"San Antonio","4819 Pecan Grove Dr",1,0,0,0,0,N/A
3315593,"September 24, 2025",Tennessee,Memphis,"5895 Winchester Rd",1,2,0,0,0,N/A
3314555,"September 24, 2025",Virginia,Hampton,"61 E Mercury Blvd",1,0,0,0,0,N/A
3315622,"September 24, 2025",Indiana,Gary,"2500 block of Connecticut St",0,0,1,0,0,N/A
3314744,"September 23, 2025","West Virginia","Bunker Hill","Quarry Rd",3,0,0,0,0,N/A
3313765,"September 23, 2025",Massachusetts,Brockton,"226 MA-28",1,0,0,0,0,N/A
3313955,"September 23, 2025","North Carolina",Durham,"1900 block of Capps St",1,0,0,0,1,N/A
3314430,"September 23, 2025",Utah,Midvale,"7533 S Jefferson St",1,0,1,0,0,N/A
3314612,"September 23, 2025",Georgia,"Warner Robins","200 block of King Dr",1,0,0,0,0,N/A
3314235,"September 23, 2025",Georgia,Marietta,"2682 Windy Hill Rd SE",1,0,0,0,3,N/A
3313865,"September 23, 2025",Florida,"Fort Lauderdale","1400 block of N Fort Lauderdale Beach Blvd",1,0,0,0,0,N/A
3313837,"September 23, 2025",Florida,Jacksonville,"9300 Baymeadows Rd",1,0,0,0,0,N/A
3313791,"September 23, 2025",Florida,"North Miami Beach (Sunny Isles Beach)","330 Sunny Isles Blvd",1,0,0,0,0,N/A
3313843,"September 23, 2025",California,Lancaster,"701 W Kettering St",0,0,1,0,0,N/A
3314458,"September 23, 2025",Virginia,Mechanicsville,"I-295 and Pole Green Rd",1,0,0,0,0,N/A
3313639,"September 23, 2025",Mississippi,"Yazoo City","925 Grady Ave",1,0,1,0,0,N/A
3314373,"September 23, 2025",California,"San Diego","Polk Ave and 43rd St",1,0,0,0,1,N/A
3314433,"September 23, 2025","South Carolina",Columbia,"200 block of Aster Cir",1,0,0,0,1,N/A
3314225,"September 23, 2025",California,Hemet,"400 block of Steiner Dr",1,3,0,0,0,N/A
3314025,"September 23, 2025",Massachusetts,Chicopee,"26 Dayton St",1,0,0,0,1,N/A
3313738,"September 23, 2025",Texas,Killeen,"200 block of Laura Dr",1,0,0,0,0,N/A
3313736,"September 23, 2025",California,"San Diego","Orange Ave and 51st St",0,0,1,0,0,N/A
3315164,"September 23, 2025",California,"Santa Clarita","27666 Sequoia Glen Dr",1,0,0,0,0,N/A
3315144,"September 23, 2025",Colorado,Leadville,"13200 block of US-24",1,0,0,0,1,N/A
3313649,"September 23, 2025",California,Riverside,"6158 Columbus Ave",0,1,1,0,0,N/A
3314293,"September 23, 2025",Louisiana,Shreveport,"8400 block of Harding Ave",1,0,0,0,1,N/A
3314248,"September 23, 2025",Arkansas,"Pine Bluff","615 S Missouri St",1,0,0,0,0,N/A
3314326,"September 23, 2025",Texas,Dallas,"2600 block of Wilhurt Ave",1,0,0,0,0,N/A
3314520,"September 23, 2025",Florida,"Punta Gorda","1255 Saxony Cir",0,0,1,0,0,N/A
3314261,"September 23, 2025",Arizona,Phoenix,"S 24th St and E Southern Ave",1,2,2,0,0,N/A
3313666,"September 23, 2025",Georgia,Augusta,"3450 Wrightsboro Rd",1,0,0,0,2,N/A
3314271,"September 23, 2025",Colorado,Parker,"Twenty Mile Rd and Longs Way",1,0,0,0,0,N/A
3314090,"September 23, 2025",Wisconsin,Manitowoc,"2400 block of Dewey St",1,0,0,0,1,N/A
3316617,"September 23, 2025",Alabama,Jasper,"1703 Devon Dr",1,1,0,0,1,N/A
